timestamp,open,high,low,close,volume
1746226800000,0.2117,0.2119,0.2077,0.2089,10154008.5
1746230400000,0.2092,0.211,0.2057,0.2084,23620127.39999997
1746234000000,0.2085,0.2161,0.2084,0.2156,20536878.6
1746237600000,0.2158,0.2199,0.2157,0.2184,28620587.39999996
1746241200000,0.2184,0.2229,0.2176,0.2207,31164484.799999952
1746244800000,0.2211,0.2222,0.2179,0.2196,13670118.600000007
1746248400000,0.2194,0.2249,0.2193,0.2221,20112292.199999988
1746252000000,0.2221,0.227,0.2212,0.2246,35254851.00000004
1746255600000,0.2247,0.225,0.2209,0.222,46044268.19999998
1746259200000,0.2218,0.2235,0.2214,0.2222,9544834.200000009
1746262800000,0.2222,0.2252,0.221,0.2249,23181946.19999998
1746266400000,0.2249,0.2319,0.2249,0.23,39487381.20000002
1746270000000,0.2301,0.2319,0.2179,0.2187,83671966.80000004
1746273600000,0.2186,0.2229,0.2185,0.2217,27964338.40000001
1746277200000,0.2217,0.2217,0.2183,0.2188,21925475.649999984
1746280800000,0.2188,0.2188,0.2084,0.21,159365942.0000001
1746284400000,0.2103,0.2143,0.2073,0.212,77269949.00000001
1746288000000,0.2121,0.2121,0.2028,0.2034,105021390.20000006
1746291600000,0.2033,0.2035,0.1937,0.2016,169643677.1499997
1746295200000,0.2015,0.2037,0.1995,0.2036,52461774.10000016
1746298800000,0.2035,0.2041,0.202,0.202,9310412.650000008
1746302400000,0.2022,0.2028,0.1997,0.2001,11400147.800000014
1746306000000,0.2,0.2011,0.1989,0.1994,15695754.300000021
1746309600000,0.1996,0.1998,0.1968,0.1975,18237361.25
1746313200000,0.1973,0.2005,0.1969,0.1976,21864830.400000058
1746316800000,0.1982,0.1988,0.1933,0.1946,123324510.74999987
1746320400000,0.1945,0.196,0.1923,0.1959,59560481.449999854
1746324000000,0.196,0.1996,0.1947,0.1996,51044678.550000116
1746327600000,0.1996,0.206,0.1987,0.2043,76947869.64999977
1746331200000,0.2043,0.2075,0.201,0.2063,53928837.14999984
1746334800000,0.2064,0.2086,0.2042,0.2055,66880861.650000095
1746338400000,0.2049,0.2083,0.2034,0.2067,45952011.65000009
1746342000000,0.2069,0.2088,0.2042,0.2048,67667919.34999989
1746345600000,0.2047,0.2067,0.2013,0.2021,68076085.40000008
1746349200000,0.2021,0.2022,0.1991,0.2004,93427031.54999992
1746352800000,0.2004,0.2023,0.1995,0.2015,26933200.099999934
1746356400000,0.2011,0.2049,0.201,0.203,26465652.649999946
1746360000000,0.203,0.2056,0.2014,0.2025,25656610.40000006
1746363600000,0.2025,0.2031,0.2002,0.2013,24753637.299999956
1746367200000,0.2015,0.2038,0.1997,0.2023,54358036.699999854
1746370800000,0.2023,0.2026,0.2,0.2002,27209484.15000006
1746374400000,0.2004,0.2008,0.1988,0.1997,19836479.95000002
1746378000000,0.1997,0.2039,0.1978,0.2033,47723237.05000013
1746381600000,0.2035,0.2063,0.2021,0.204,50430971.84999996
1746385200000,0.2038,0.2076,0.2038,0.2075,19251185.14999997
1746388800000,0.2072,0.2128,0.2065,0.2128,61377874.749999955
1746392400000,0.2128,0.2202,0.2126,0.2181,139285773.59999996
1746396000000,0.2183,0.2226,0.2162,0.2207,75541185.04999995
